"","OCCURENCE","RGBA","HEX","NAME"
"1",3668906,"(0,0,0,0)","#0000000"," none"
"2",799786,"(0,0,0,255)","#000000F"," black"
"3",272,"(0,64,255,255)","#0040FFF"," srgba(0,64,255,1)"
"4",3204,"(0,85,128,255)","#005580F"," srgba(0,85,128,1)"
"5",660,"(0,96,195,255)","#0060C3F"," srgba(0,96,195,1)"
"6",1443,"(20,44,124,255)","#142C7CF"," srgba(20,44,124,1)"
"7",10986,"(22,55,164,255)","#1637A4F"," srgba(22,55,164,1)"
"8",12506,"(26,67,200,255)","#1A43C8F"," srgba(26,67,200,1)"
"9",3558,"(26,110,213,255)","#1A6ED5F"," srgba(26,110,213,1)"
"10",1376,"(28,26,0,255)","#1C1A00F"," srgba(28,26,0,1)"
"11",8745,"(34,144,0,255)","#229000F"," srgba(34,144,0,1)"
"12",2,"(37,20,9,255)","#251409F"," srgba(37,20,9,1)"
"13",6496,"(38,49,74,255)","#26314AF"," srgba(38,49,74,1)"
"14",1508,"(40,27,9,255)","#281B09F"," srgba(40,27,9,1)"
"15",1536,"(40,88,177,255)","#2858B1F"," srgba(40,88,177,1)"
"16",13611,"(40,177,67,255)","#28B143F"," srgba(40,177,67,1)"
"17",768,"(41,62,100,255)","#293E64F"," srgba(41,62,100,1)"
"18",764,"(41,100,52,255)","#296434F"," srgba(41,100,52,1)"
"19",884,"(42,42,42,255)","#2A2A2AF"," srgba(42,42,42,1)"
"20",1536,"(44,81,149,255)","#2C5195F"," srgba(44,81,149,1)"
"21",1528,"(44,149,65,255)","#2C9541F"," srgba(44,149,65,1)"
"22",346,"(45,25,12,255)","#2D190CF"," srgba(45,25,12,1)"
"23",2229,"(45,107,98,255)","#2D6B62F"," srgba(45,107,98,1)"
"24",2364,"(49,27,13,255)","#311B0DF"," srgba(49,27,13,1)"
"25",9,"(50,65,42,255)","#32412AF"," srgba(50,65,42,1)"
"26",1716,"(50,141,253,255)","#328DFDF"," srgba(50,141,253,1)"
"27",677,"(53,36,16,255)","#352410F"," srgba(53,36,16,1)"
"28",2540,"(53,53,53,255)","#353535F"," srgba(53,53,53,1)"
"29",50,"(54,70,45,255)","#36462DF"," srgba(54,70,45,1)"
"30",2,"(56,45,31,255)","#382D1FF"," srgba(56,45,31,1)"
"31",8,"(57,35,18,255)","#392312F"," srgba(57,35,18,1)"
"32",2,"(59,33,15,255)","#3B210FF"," srgba(59,33,15,1)"
"33",190,"(60,36,19,255)","#3C2413F"," srgba(60,36,19,1)"
"34",268,"(60,86,89,255)","#3C5659F"," srgba(60,86,89,1)"
"35",316,"(60,104,39,255)","#3C6827F"," srgba(60,104,39,1)"
"36",295,"(60,195,0,255)","#3CC300F"," srgba(60,195,0,1)"
"37",11017,"(61,47,30,255)","#3D2F1EF"," srgba(61,47,30,1)"
"38",10,"(66,80,58,255)","#42503AF"," srgba(66,80,58,1)"
"39",4,"(67,81,59,255)","#43513BF"," srgba(67,81,59,1)"
"40",429,"(70,56,39,255)","#463827F"," srgba(70,56,39,1)"
"41",2,"(71,57,41,255)","#473929F"," srgba(71,57,41,1)"
"42",134,"(72,93,93,255)","#485D5DF"," srgba(72,93,93,1)"
"43",158,"(72,111,43,255)","#486F2BF"," srgba(72,111,43,1)"
"44",1519,"(74,18,1,255)","#4A1201F"," srgba(74,18,1,1)"
"45",2130,"(75,60,42,255)","#4B3C2AF"," srgba(75,60,42,1)"
"46",9376,"(76,76,76,255)","#4C4C4CF"," srgba(76,76,76,1)"
"47",5301,"(79,44,20,255)","#4F2C14F"," srgba(79,44,20,1)"
"48",172,"(79,69,56,255)","#4F4538F"," srgba(79,69,56,1)"
"49",1562,"(80,47,5,255)","#502F05F"," srgba(80,47,5,1)"
"50",404,"(80,106,101,255)","#506A65F"," srgba(80,106,101,1)"
"51",332,"(80,124,51,255)","#507C33F"," srgba(80,124,51,1)"
"52",12144,"(81,54,12,255)","#51360CF"," srgba(81,54,12,1)"
"53",4826,"(81,81,81,255)","#515151F"," srgba(81,81,81,1)"
"54",171,"(82,50,26,255)","#52321AF"," srgba(82,50,26,1)"
"55",9,"(82,66,47,255)","#52422FF"," srgba(82,66,47,1)"
"56",1376,"(83,76,0,255)","#534C00F"," srgba(83,76,0,1)"
"57",91,"(85,47,22,255)","#552F16F"," srgba(85,47,22,1)"
"58",20485,"(85,85,85,255)","#555555F"," srgba(85,85,85,1)"
"59",5198,"(86,38,0,255)","#562600F"," srgba(86,38,0,1)"
"60",319,"(87,113,73,255)","#577149F"," srgba(87,113,73,1)"
"61",468,"(88,71,51,255)","#584733F"," srgba(88,71,51,1)"
"62",1360,"(89,89,89,255)","#595959F"," grey35"
"63",1079,"(89,101,112,255)","#596570F"," srgba(89,101,112,1)"
"64",2,"(89,109,72,255)","#596D48F"," srgba(89,109,72,1)"
"65",2,"(91,73,51,255)","#5B4933F"," srgba(91,73,51,1)"
"66",2008,"(92,57,15,255)","#5C390FF"," srgba(92,57,15,1)"
"67",300,"(92,115,107,255)","#5C736BF"," srgba(92,115,107,1)"
"68",92,"(92,127,145,255)","#5C7F91F"," srgba(92,127,145,1)"
"69",328,"(92,133,57,255)","#5C8539F"," srgba(92,133,57,1)"
"70",108,"(92,145,95,255)","#5C915FF"," srgba(92,145,95,1)"
"71",2,"(93,35,16,255)","#5D2310F"," srgba(93,35,16,1)"
"72",52,"(93,93,93,255)","#5D5D5DF"," srgba(93,93,93,1)"
"73",202,"(93,121,117,255)","#5D7975F"," srgba(93,121,117,1)"
"74",166,"(93,139,67,255)","#5D8B43F"," srgba(93,139,67,1)"
"75",2183,"(94,76,55,255)","#5E4C37F"," srgba(94,76,55,1)"
"76",132,"(94,87,87,255)","#5E5757F"," srgba(94,87,87,1)"
"77",433,"(94,114,83,255)","#5E7253F"," srgba(94,114,83,1)"
"78",1580,"(95,29,9,255)","#5F1D09F"," srgba(95,29,9,1)"
"79",600,"(99,99,99,255)","#636363F"," grey39"
"80",176,"(100,88,73,255)","#645849F"," srgba(100,88,73,1)"
"81",11,"(101,82,60,255)","#65523CF"," srgba(101,82,60,1)"
"82",721,"(101,94,94,255)","#655E5EF"," srgba(101,94,94,1)"
"83",951,"(104,60,8,255)","#683C08F"," srgba(104,60,8,1)"
"84",4476,"(104,70,31,255)","#68461FF"," srgba(104,70,31,1)"
"85",3210,"(105,12,69,255)","#690C45F"," srgba(105,12,69,1)"
"86",811,"(105,47,8,255)","#692F08F"," srgba(105,47,8,1)"
"87",56,"(106,86,63,255)","#6A563FF"," srgba(106,86,63,1)"
"88",46,"(106,142,160,255)","#6A8EA0F"," srgba(106,142,160,1)"
"89",54,"(106,160,110,255)","#6AA06EF"," srgba(106,160,110,1)"
"90",1,"(107,99,97,255)","#6B6361F"," srgba(107,99,97,1)"
"91",58,"(110,110,110,255)","#6E6E6EF"," grey43"
"92",150,"(110,134,127,255)","#6E867FF"," srgba(110,134,127,1)"
"93",164,"(110,152,77,255)","#6E984DF"," srgba(110,152,77,1)"
"94",129,"(111,111,111,255)","#6F6F6FF"," srgba(111,111,111,1)"
"95",13305,"(113,12,199,255)","#710CC7F"," srgba(113,12,199,1)"
"96",2124,"(113,16,16,255)","#711010F"," srgba(113,16,16,1)"
"97",218509,"(113,63,29,255)","#713F1DF"," srgba(113,63,29,1)"
"98",2599,"(114,55,9,255)","#723709F"," srgba(114,55,9,1)"
"99",2,"(114,93,67,255)","#725D43F"," srgba(114,93,67,1)"
"100",12,"(117,189,189,255)","#75BDBDF"," srgba(117,189,189,1)"
"101",73,"(118,59,26,255)","#763B1AF"," srgba(118,59,26,1)"
"102",171,"(118,95,67,255)","#765F43F"," srgba(118,95,67,1)"
"103",9681,"(121,75,17,255)","#794B11F"," srgba(121,75,17,1)"
"104",4650,"(121,97,68,255)","#796144F"," srgba(121,97,68,1)"
"105",7641,"(125,162,105,255)","#7DA269F"," srgba(125,162,105,1)"
"106",2,"(127,77,54,255)","#7F4D36F"," srgba(127,77,54,1)"
"107",5804,"(128,219,218,255)","#80DBDAF"," srgba(128,219,218,1)"
"108",17901,"(129,25,183,255)","#8119B7F"," srgba(129,25,183,1)"
"109",74,"(130,80,50,255)","#825032F"," srgba(130,80,50,1)"
"110",159,"(130,104,73,255)","#826849F"," srgba(130,104,73,1)"
"111",18,"(131,199,144,255)","#83C790F"," srgba(131,199,144,1)"
"112",88,"(133,50,23,255)","#853217F"," srgba(133,50,23,1)"
"113",3170,"(133,81,20,255)","#855114F"," srgba(133,81,20,1)"
"114",878,"(133,86,30,255)","#85561EF"," srgba(133,86,30,1)"
"115",1288,"(133,111,86,255)","#856F56F"," srgba(133,111,86,1)"
"116",6068,"(134,88,30,255)","#86581EF"," srgba(134,88,30,1)"
"117",7,"(134,131,119,255)","#868377F"," srgba(134,131,119,1)"
"118",644,"(137,122,112,255)","#897A70F"," srgba(137,122,112,1)"
"119",1137,"(139,83,44,255)","#8B532CF"," srgba(139,83,44,1)"
"120",3210,"(140,13,91,255)","#8C0D5BF"," srgba(140,13,91,1)"
"121",1992,"(141,141,141,255)","#8D8D8DF"," srgba(141,141,141,1)"
"122",24,"(142,165,159,255)","#8EA59FF"," srgba(142,165,159,1)"
"123",288,"(143,15,105,255)","#8F0F69F"," srgba(143,15,105,1)"
"124",5,"(143,130,84,255)","#8F8254F"," srgba(143,130,84,1)"
"125",169,"(145,118,86,255)","#917656F"," srgba(145,118,86,1)"
"126",6770,"(147,55,9,255)","#933709F"," srgba(147,55,9,1)"
"127",4,"(148,149,147,255)","#949593F"," srgba(148,149,147,1)"
"128",1599,"(152,136,128,255)","#988880F"," srgba(152,136,128,1)"
"129",5232,"(153,124,89,255)","#997C59F"," srgba(153,124,89,1)"
"130",322,"(153,132,117,255)","#998475F"," srgba(153,132,117,1)"
"131",50,"(153,153,153,255)","#999999F"," grey60"
"132",58,"(154,142,139,255)","#9A8E8BF"," srgba(154,142,139,1)"
"133",144,"(155,22,109,255)","#9B166DF"," srgba(155,22,109,1)"
"134",79,"(155,111,77,255)","#9B6F4DF"," srgba(155,111,77,1)"
"135",36,"(155,188,136,255)","#9BBC88F"," srgba(155,188,136,1)"
"136",43,"(155,224,224,255)","#9BE0E0F"," srgba(155,224,224,1)"
"137",32,"(159,192,171,255)","#9FC0ABF"," srgba(159,192,171,1)"
"138",352,"(163,35,117,255)","#A32375F"," srgba(163,35,117,1)"
"139",1297,"(163,151,151,255)","#A39797F"," srgba(163,151,151,1)"
"140",134,"(164,133,96,255)","#A48560F"," srgba(164,133,96,1)"
"141",616,"(164,150,129,255)","#A49681F"," srgba(164,150,129,1)"
"142",10,"(164,163,160,255)","#A4A3A0F"," srgba(164,163,160,1)"
"143",2062,"(165,141,141,255)","#A58D8DF"," srgba(165,141,141,1)"
"144",45868,"(166,110,44,255)","#A66E2CF"," srgba(166,110,44,1)"
"145",2623,"(167,124,71,255)","#A77C47F"," srgba(167,124,71,1)"
"146",28,"(169,140,107,255)","#A98C6BF"," srgba(169,140,107,1)"
"147",65,"(170,123,84,255)","#AA7B54F"," srgba(170,123,84,1)"
"148",3210,"(173,33,96,255)","#AD2160F"," srgba(173,33,96,1)"
"149",82,"(173,126,89,255)","#AD7E59F"," srgba(173,126,89,1)"
"150",234594,"(174,139,97,255)","#AE8B61F"," srgba(174,139,97,1)"
"151",304,"(175,44,123,255)","#AF2C7BF"," srgba(175,44,123,1)"
"152",104,"(175,56,161,255)","#AF38A1F"," srgba(175,56,161,1)"
"153",26,"(175,163,163,255)","#AFA3A3F"," srgba(175,163,163,1)"
"154",176,"(176,50,133,255)","#B03285F"," srgba(176,50,133,1)"
"155",1,"(176,163,155,255)","#B0A39BF"," srgba(176,163,155,1)"
"156",521,"(177,177,177,255)","#B1B1B1F"," srgba(177,177,177,1)"
"157",702,"(178,97,220,255)","#B261DCF"," srgba(178,97,220,1)"
"158",37,"(179,142,125,255)","#B38E7DF"," srgba(179,142,125,1)"
"159",5974,"(180,180,180,255)","#B4B4B4F"," srgba(180,180,180,1)"
"160",107,"(182,111,78,255)","#B66F4EF"," srgba(182,111,78,1)"
"161",1197,"(182,159,130,255)","#B69F82F"," srgba(182,159,130,1)"
"162",696,"(182,163,137,255)","#B6A389F"," srgba(182,163,137,1)"
"163",164,"(182,180,191,255)","#B6B4BFF"," srgba(182,180,191,1)"
"164",308,"(183,171,152,255)","#B7AB98F"," srgba(183,171,152,1)"
"165",2,"(184,180,172,255)","#B8B4ACF"," srgba(184,180,172,1)"
"166",2782,"(185,185,185,128)","#B9B9B98"," srgba(185,185,185,0.501961)"
"167",1,"(186,172,162,255)","#BAACA2F"," srgba(186,172,162,1)"
"168",1525,"(187,179,166,255)","#BBB3A6F"," srgba(187,179,166,1)"
"169",52,"(189,71,176,255)","#BD47B0F"," srgba(189,71,176,1)"
"170",152,"(193,63,143,255)","#C13F8FF"," srgba(193,63,143,1)"
"171",491,"(194,137,70,255)","#C28946F"," srgba(194,137,70,1)"
"172",1995,"(196,33,16,255)","#C42110F"," srgba(196,33,16,1)"
"173",4805,"(198,198,198,255)","#C6C6C6F"," srgba(198,198,198,1)"
"174",2008,"(199,117,20,255)","#C77514F"," srgba(199,117,20,1)"
"175",809,"(200,251,251,255)","#C8FBFBF"," srgba(200,251,251,1)"
"176",1031,"(201,178,178,255)","#C9B2B2F"," srgba(201,178,178,1)"
"177",6471,"(201,201,201,255)","#C9C9C9F"," grey79"
"178",8433,"(202,78,17,255)","#CA4E11F"," srgba(202,78,17,1)"
"179",82,"(202,201,212,255)","#CAC9D4F"," srgba(202,201,212,1)"
"180",6,"(202,214,225,255)","#CAD6E1F"," srgba(202,214,225,1)"
"181",1849,"(205,0,203,255)","#CD00CBF"," srgba(205,0,203,1)"
"182",348,"(207,189,166,255)","#CFBDA6F"," srgba(207,189,166,1)"
"183",80,"(208,156,110,255)","#D09C6EF"," srgba(208,156,110,1)"
"184",2658,"(210,157,96,255)","#D29D60F"," srgba(210,157,96,1)"
"185",1728,"(212,200,184,255)","#D4C8B8F"," srgba(212,200,184,1)"
"186",848,"(214,0,0,255)","#D60000F"," srgba(214,0,0,1)"
"187",440,"(214,4,4,255)","#D60404F"," srgba(214,4,4,1)"
"188",586,"(215,215,215,255)","#D7D7D7F"," srgba(215,215,215,1)"
"189",102,"(218,142,102,255)","#DA8E66F"," srgba(218,142,102,1)"
"190",12,"(218,205,187,255)","#DACDBBF"," srgba(218,205,187,1)"
"191",233981,"(219,177,128,255)","#DBB180F"," srgba(219,177,128,1)"
"192",1265,"(220,29,29,255)","#DC1D1DF"," srgba(220,29,29,1)"
"193",16,"(220,216,164,255)","#DCD8A4F"," srgba(220,216,164,1)"
"194",3,"(220,220,220,255)","#DCDCDCF"," gainsboro"
